911206,ÐLBD Số 14,"Khu vực 1, Phường 1, Thị xã Vị Thanh"
911884,ÐLBD Thạnh Lợi A5,"Ấp Thạnh Lợi A1, Xã Tân Long, Huyện Phụng Hiệp"
911065,ÐLBD Số 21,"421 Đường Lê Hồng Phong, Phường 4, Thị xã Vị Thanh"
911931,BĐVHX Tân Bình,"Ấp Tân Phú, Xã Tân Bình, Huyện Phụng Hiệp"
912010,GD cấp 3 Hiệp Hưng,"Ấp Mỹ Quới, Thị trấn Cây Dương, Huyện Phụng Hiệp"
912020,BĐVHX Hiệp Hưng,"Ấp Mỹ Hưng, Xã Hiệp Hưng, Huyện Phụng Hiệp"
912221,ÐLBD Tân Long,"Ấp Tân Long, Xã Vĩnh Tường, Huyện Vị Thuỷ"
911538,ÐLBD Số 8,"Ấp 5, Thị Trấn Long Mỹ, Huyện Long Mỹ"
911360,GD cấp 3 Phường 7,"Khu vực 2, Phường 7, Thị xã Vị Thanh"
911540,KT cấp 2 Long Mỹ,"4 Đường 30-4, Thị Trấn Long Mỹ, Huyện Long Mỹ"
912600,BĐVHX Trường Long Tây,"Ấp Trường Thọ A, Xã Trường Long Tây, Huyện Châu Thành A"
911873,ÐLBD Thạnh Lợi A,"150 Ấp Thạnh Lợi A1, Xã Tân Long, Huyện Phụng Hiệp"
912083,ÐLBD Phương Thạnh,"276 Ấp Phương Thạnh, Xã Phương Bình, Huyện Phụng Hiệp"
911830,ÐLBD Mỹ Lợi,"Ấp Mỹ Lợi, Thị trấn Cây Dương, Huyện Phụng Hiệp"
911057,ÐLBD Số 8,"Khu vực 4, Phường 4, Thị xã Vị Thanh"
911533,ÐLBD Số 3,"60 Đường Cách Mạng Tháng 8, Thị Trấn Long Mỹ, Huyện Long Mỹ"
911610,GD cấp 3 Vĩnh Viễn,"Ấp 3, Xã Vĩnh Viễn, Huyện Long Mỹ"
912571,ÐLBD Nhơn Xuân,"Ấp Nhơn Xuân, Thị trấn Một Ngàn, Huyện Châu Thành A"
911539,ÐLBD Số 9,"42 Đường 30-4, Thị Trấn Long Mỹ, Huyện Long Mỹ"
911600,ÐLBD Vĩnh Thuận Đông,"Ấp 5, Xã Vĩnh Thuận Đông, Huyện Long Mỹ"
911910,BĐVHX Thạnh Hòa,"Ấp I, Xã Thạnh Hoà, Huyện Phụng Hiệp"
912260,GD cấp 3 Vị Thanh,"Ấp 1, Xã Vị Thanh, Huyện Vị Thuỷ"
912901,ÐLBD Châu Thành A2,"1/311 Đường Lê Lợi, Phường Ngã Bảy, Thị xã Ngã Bảy"
912511,BĐVHX Tầm Vu,"Ấp Xẽo Cao, Xã Thạnh Xuân, Huyện Châu Thành A"
911820,KT cấp 2 Phụng Hiệp,"451 Ấp Mỹ Quới, Thị trấn Cây Dương, Huyện Phụng Hiệp"
912330,BĐVHX Vị Thắng,"Ấp 9, Xã Vị Thắng, Huyện Vị Thuỷ"
911500,GD cấp 2 Long Mỹ,"4 Đường 30-4, Thị Trấn Long Mỹ, Huyện Long Mỹ"
911550,BĐVHX Long Trị,"Ấp 8, Xã Long Trị, Huyện Long Mỹ"
911890,GD cấp 3 Long Thạnh,"Ấp Long Hòa A1, Xã Long Thạnh, Huyện Phụng Hiệp"
911970,ÐLBD Hòa Phụng B,"145 Ấp Hòa Phụng B, Thị Trấn Kinh Cùng, Huyện Phụng Hiệp"
911081,ÐLBD Số 3,"19 Đường Ngô Quốc Trị, Phường 5, Thị xã Vị Thanh"
912772,ÐLBD Thuận Hưng,"Ấp Thuận Hưng, Thị Trấn Ngã Sáu, Huyện Châu Thành"
911203,ÐLBD Số 7,"Tổ 9, Khu vực 4, Phường 4, Thị xã Vị Thanh"
911704,ÐLBD Lương Tâm,"Ấp 3, Xã Lương Tâm, Huyện Long Mỹ"
911932,ÐLBD Tân Long A,"44 Ấp Tân Long A, Xã Tân Bình, Huyện Phụng Hiệp"
912218,BĐVHX Vị Trung,"Ấp 12, Xã Vị Trung, Huyện Vị Thuỷ"
912537,ÐLBD Phú Thạnh 2,"609 Ấp Phú Thạnh, Xã Tân Phú Thạnh, Huyện Châu Thành A"
911707,ÐLBD Lương Nghĩa,"Ấp 8, Xã Lương Tâm, Huyện Long Mỹ"
912035,ÐLBD Mỹ Lợi B1,"27 Ấp Mỹ Lợi B, Xã Hiệp Hưng, Huyện Phụng Hiệp"
911667,ÐLBD Long Phú 1,"Ấp Long Bình 1, Xã Long Phú, Huyện Long Mỹ"
912050,GD cấp 3 Tân Phước Hưng,"Ấp Tân Phú A2, Xã Tân Phước Hưng, Huyện Phụng Hiệp"
912090,BĐVHX Phương Phú,"Ấp Phương An A, Xã Phương Phú, Huyện Phụng Hiệp"
912081,ÐLBD Phương Lạc 1,"333 Ấp Phương Lạc, Xã Phương Bình, Huyện Phụng Hiệp"
912512,ÐLBD Tân Hiệp,"Ấp Thị Tứ, Xã Thạnh Xuân, Huyện Châu Thành A"
911850,ÐLBD Mỹ Thuận,"Ấp Mỹ Thuận 1, Xã Phụng Hiệp, Huyện Phụng Hiệp"
911361,ÐLBD Số 4,"Khu vực 1, Phường 7, Thị xã Vị Thanh"
911534,ÐLBD Số 4,"Ấp 6, Thị Trấn Long Mỹ, Huyện Long Mỹ"
912280,BĐVHX Vị Bình,"Ấp 4, Xã Vị Bình, Huyện Vị Thuỷ"
912339,ÐLBD Vị Thắng,"20 Ấp 11, Xã Vị Thắng, Huyện Vị Thuỷ"
911537,ÐLBD Số 7,"1/7 Đường Trần Hưng Đạo, Thị Trấn Long Mỹ, Huyện Long Mỹ"
911205,ÐLBD Số 11,"08 Đường Đồ Chiểu, Phường 1, Thị xã Vị Thanh"
912730,BĐVHX Đông Phú,"Ấp Phú Nhơn, Xã Đông Phú, Huyện Châu Thành"
912951,ÐLBD Số 6,"Khu vực 4, Phường Hiệp Thành, Thị xã Ngã Bảy"
911624,ÐLBD Vĩnh Viễn,"Ấp 6, Xã Vĩnh Viễn, Huyện Long Mỹ"
911240,ÐLBD Đại lý Bưu điên số 22,"Ấp 4, Xã Vị Tân, Thị xã Vị Thanh"
912268,ÐLBD Vị Thanh,"Ấp 1, Xã Vị Thanh, Huyện Vị Thuỷ"
911721,ÐLBD Tân Hưng,"Ấp Tân Hưng 2, Xã Tân Phú, Huyện Long Mỹ"
911000,ÐLBD Số 1,"27 Đường Lý Thường Kiệt, Phường 4, Thị xã Vị Thanh"
